model,source,target,selections,mean_weight,selection_frequency
G5,ADI,KLAC,8,0.3553309999406338,1.0
G5,TXN,AMD,8,0.34501422569155693,1.0
G5,INTC,AVGO,8,0.2793154399842024,1.0
G5,NVDA,KLAC,8,0.2781454231590032,1.0
G5,AMAT,AVGO,8,0.2359296008944511,1.0
G5,LRCX,TXN,8,0.23540274426341057,1.0
G5,KLAC,ADI,8,0.23492600396275518,1.0
G5,AMAT,MU,8,0.20392717793583867,1.0
G5,LRCX,AVGO,8,0.13866071309894318,1.0
G5,AMAT,LRCX,8,0.1020562946796417,1.0
G5,LRCX,QCOM,8,0.08424122538417574,1.0
G5,AMD,MU,7,0.2761547097137996,0.875
G5,TXN,AVGO,7,0.14205225610307282,0.875
G5,AMD,TXN,7,0.037815395734339376,0.875
G5,AMAT,KLAC,6,0.24090218295653662,0.75
G5,AVGO,ADI,5,0.5405830264091491,0.625
G5,TXN,AMAT,5,0.2687425971031189,0.625
G5,AMD,QCOM,5,0.267173758149147,0.625
G5,INTC,LRCX,5,0.14548323154449458,0.625
G5,QCOM,TXN,4,0.4011209011077881,0.5
G5,ADI,LRCX,4,0.38469457626342773,0.5
G5,ADI,NVDA,4,0.25725986063480377,0.5
G5,AMAT,QCOM,4,0.21498590335249898,0.5
G5,INTC,NVDA,4,0.17917767912149424,0.5
G5,AMD,ADI,4,0.17433696985244748,0.5
G5,KLAC,QCOM,4,0.14327268302440638,0.5
G5,LRCX,NVDA,4,0.1228750757873058,0.5
G5,LRCX,ADI,4,0.07778605818748469,0.5
G5,QCOM,AMAT,4,0.04519062722101802,0.5
G5,TXN,INTC,4,0.0415851948782801,0.5
G5,AMAT,ADI,3,0.1902468254168828,0.375
G5,KLAC,AVGO,3,0.16899104416370392,0.375
G5,ADI,AMAT,3,0.11549371977647144,0.375
G5,NVDA,INTC,3,0.035754702985286706,0.375
G5,INTC,TXN,3,0.026029139989986964,0.375
G5,AVGO,TXN,1,0.5313736200332642,0.125
G5,QCOM,NVDA,1,0.2474569082260131,0.125
G5,KLAC,MU,1,0.1104385405778884,0.125
G5,NVDA,QCOM,1,0.064174897968769,0.125
G5,AMAT,TXN,1,0.0176698733121156,0.125
G5,TXN,ADI,1,0.0007077081827446,0.125
